1.2,-0.1,4,-78.9,538.3,122.5
3.9,-4.2,14.6,-78.9,538.3,122.5
3.9,-4.2,14.6,-42.2,-497.4,-225.7
-0.1,1.3,-0.1,-42.2,-497.4,-225.7
-0.1,1.3,-0.1,-16.1,128,90.9
7.8,-3.8,19.1,-16.1,128,90.9
7.8,-3.8,19.1,-25.5,-1033.7,-483.3
-0.1,2.9,-2,-25.5,-1033.7,-483.3
-0.1,2.9,-2,-29.6,184.3,112.9
5.9,-3.8,19.9,-29.6,184.3,112.9
5.9,-3.8,19.9,50.8,-693.3,-287.8
0.1,2,0.1,50.8,-693.3,-287.8
0.1,2,0.1,-18.2,155.3,73
6.1,-3.5,23.8,-18.2,155.3,73
6.1,-3.5,23.8,63.3,-891.7,-270.1
-0.1,1.8,-1.5,63.3,-891.7,-270.1
-0.1,1.8,-1.5,-33.7,205.8,71.4
9.2,-4.2,18.2,-33.7,205.8,71.4
9.2,-4.2,18.2,-81.1,-903.9,-384.4
-1.5,2.9,0.1,-81.1,-903.9,-384.4
-1.5,2.9,0.1,1,-16.6,36.9
17.5,-3.2,5.9,1,-16.6,36.9
17.5,-3.2,5.9,3.7,-120.2,-347.9
-3.6,4.6,-1.3,3.7,-120.2,-347.9
-3.6,4.6,-1.3,23.3,-111,40.7
21.3,-2.5,4.2,23.3,-111,40.7
21.3,-2.5,4.2,8.7,20.8,-3.9
-3.7,4.4,-0.1,8.7,20.8,-3.9
-3.7,4.4,-0.1,18.7,-107,43.1
22,-2.1,1.5,18.7,-107,43.1
22,-2.1,1.5,-3.3,20.5,46.7
-4.2,3.7,0.1,-3.3,20.5,46.7
-4.2,3.7,0.1,7.3,-96.7,9.2
19.6,-1.1,-2.8,7.3,-96.7,9.2
19.6,-1.1,-2.8,-2.2,14.6,-69.6
1,0.6,0.1,-2.2,14.6,-69.6
1,0.6,0.1,4,-21.9,6.4
5.9,0.1,-14.6,4,-21.9,6.4
5.9,0.1,-14.6,-29.2,38.7,-19.9
-0.6,2.1,1.7,-29.2,38.7,-19.9
-0.6,2.1,1.7,18.8,-45.4,-33.5
7.4,0.1,-16.4,18.8,-45.4,-33.5
7.4,0.1,-16.4,0.2,38.5,-10.6
0.1,2,0.6,0.2,38.5,-10.6
0.1,2,0.6,12.8,-38.8,-28.8
6.2,-1.1,-18.8,12.8,-38.8,-28.8
6.2,-1.1,-18.8,-6.6,-17.1,12.1
-1.6,2.8,2,-6.6,-17.1,12.1
-1.6,2.8,2,12.8,-52,-35.2
5.1,-1.7,-17.9,12.8,-52,-35.2
5.1,-1.7,-17.9,2.2,30.2,-0.5
-1.7,3.1,2.4,2.2,30.2,-0.5
-1.7,3.1,2.4,-16.2,-35.7,-58.5
4.9,0.1,-19.6,-16.2,-35.7,-58.5
4.9,0.1,-19.6,-9.1,-116.4,37
-1.4,2.4,1.2,-9.1,-116.4,37
-1.4,2.4,1.2,-18.9,-14.4,-46.6
6.7,-1.6,-20.9,-18.9,-14.4,-46.6
6.7,-1.6,-20.9,4.9,-135.8,65
-1.4,1.1,1.9,4.9,-135.8,65
-1.4,1.1,1.9,-14.4,7.4,-33.4
4.5,-1.1,-19.7,-14.4,7.4,-33.4
4.5,-1.1,-19.7,-19.3,-110.7,51.3
0,0,2.8,-19.3,-110.7,51.3
0,0,2.8,13.4,13.9,-32.6
6.9,-1.6,-20.7,13.4,13.9,-32.6
6.9,-1.6,-20.7,-9.2,-131.2,64
-0.7,1.5,0,-9.2,-131.2,64
-0.7,1.5,0,-16.8,-0.3,-37.9
7.2,0,-19.2,-16.8,-0.3,-37.9
7.2,0,-19.2,11.4,-110,65.6
0.1,1.1,-1.1,11.4,-110,65.6
0.1,1.1,-1.1,-0.9,19.2,-27.2
5.8,-0.1,-16.9,-0.9,19.2,-27.2
5.8,-0.1,-16.9,10.4,-76.7,58.1
-0.1,-0.1,-0.2,10.4,-76.7,58.1
-0.1,-0.1,-0.2,4.1,43,-15.7
4.6,-0.1,-21.3,4.1,43,-15.7
4.6,-0.1,-21.3,-19.2,-102,51.3
-1.3,2.5,-0.1,-19.2,-102,51.3
-1.3,2.5,-0.1,-16.3,-0.6,-42.8
6,0,-18.8,-16.3,-0.6,-42.8
6,0,-18.8,16.7,-121.6,56
1.1,2,-5.8,16.7,-121.6,56
1.1,2,-5.8,-10.3,7.1,-37.5
5.3,-2.8,-10.8,-10.3,7.1,-37.5
5.3,-2.8,-10.8,82,66.2,114.5
1.4,0,-8.7,82,66.2,114.5
1.4,0,-8.7,-14.7,130,-43.1
1.3,0.4,-3,-14.7,130,-43.1
1.3,0.4,-3,22.4,-11,47.1
3.2,-1.5,-12,22.4,-11,47.1
3.2,-1.5,-12,13,226.7,-42.2
0,2,-1.5,13,226.7,-42.2
0,2,-1.5,40.9,-55.6,-5.7
10.8,-1.3,-3.8,40.9,-55.6,-5.7
10.8,-1.3,-3.8,57.4,191.3,-232.1
0.7,1.9,0.1,57.4,191.3,-232.1
0.7,1.9,0.1,123.3,-74.9,59.8
13.5,-1.5,-2.1,123.3,-74.9,59.8
13.5,-1.5,-2.1,6.6,55.9,-204.4
0.6,2,0.1,6.6,55.9,-204.4
0.6,2,0.1,58.9,27.2,35
17.2,0,-1.3,58.9,27.2,35
17.2,0,-1.3,1.7,48,-245.7
4.4,0.1,-1.4,1.7,48,-245.7
4.4,0.1,-1.4,12.7,28.2,57.9
12,0,0,12.7,28.2,57.9
12,0,0,0,0,0
13.1,-0.1,-0.1,0,0,0
13.1,-0.1,-0.1,23.3,51,51.7
