acc1-1,acc1-2,acc1-3,gyro1-1,gyro1-2,gyro1-3,acc2-1,acc2-2,acc2-3,gyro2-1,gyro2-2,gyro2-3,acc3-1,acc3-2,acc3-3,gyro3-1,gyro3-2,gyro3-3,acc4-1,acc4-2,acc4-3,gyro4-1,gyro4-2,gyro4-3,acc5-1,acc5-2,acc5-3,gyro5-1,gyro5-2,gyro5-3,acc6-1,acc6-2,acc6-3,gyro6-1,gyro6-2,gyro6-3,acc7-1,acc7-2,acc7-3,gyro7-1,gyro7-2,gyro7-3,acc8-1,acc8-2,acc8-3,gyro8-1,gyro8-2,gyro8-3,acc9-1,acc9-2,acc9-3,gyro9-1,gyro9-2,gyro9-3,acc10-1,acc10-2,acc10-3,gyro10-1,gyro10-2,gyro10-3,label
-4.9,-6.1,0,-32.3,-30.9,119.8,-4.9,-6.1,0,-60.3,-50.2,-8.6,0.3,-4.8,-7.1,-60.3,-50.2,-8.6,0.3,-4.8,-7.1,-34.8,2.4,-115,0.3,-4.8,-7.1,-49.9,74.2,-47.3,-3.6,0.4,-11.5,-49.9,74.2,-47.3,-10.4,3.1,-9.4,-49.9,74.2,-47.3,-10.4,3.1,-9.4,3.5,44.5,134,-7.4,-3,-1.4,3.5,44.5,134,-7.4,-3,-1.4,-48.2,-105.6,52.8,1
-7.4,-3,-1.4,-56.6,-49.9,-80.6,-1.5,-6.7,-0.8,-56.6,-49.9,-80.6,-0.8,-4.5,-8.4,-56.6,-49.9,-80.6,-0.8,-4.5,-8.4,-3.5,34.2,-82.3,-0.8,-4.5,-8.4,-91.7,108.4,30.3,-5.3,1,-11.3,-91.7,108.4,30.3,-5.3,1,-11.3,-43.9,-19.8,105.6,-10,1.6,-4.7,-43.9,-19.8,105.6,-8.8,-3.8,3.2,-43.9,-19.8,105.6,-8.8,-3.8,3.2,-104.3,-74.5,7.5,1
-8.8,-3.8,3.2,-21.5,14.4,-93.6,-0.7,-8.1,-0.4,-21.5,14.4,-93.6,-8.1,-3.7,-7.4,-21.5,14.4,-93.6,-8.1,-3.7,-7.4,-107.8,162.6,7.5,-8.1,-3.7,-7.4,-111.2,-33.9,64.2,-11.2,2.4,-2.1,-111.2,-33.9,64.2,-11.2,2.4,-2.1,-57.3,-84.8,20.1,-8.1,-0.4,5.7,-57.3,-84.8,20.1,-8.1,-0.4,5.7,-17,-139.1,-125.9,2,-5.7,4.2,-17,-139.1,-125.9,1
2.8,-3.5,-10.5,-17,-139.1,-125.9,2.8,-3.5,-10.5,-72.1,68.5,-129,-8.2,3.1,-8,-72.1,68.5,-129,-8.2,3.1,-8,-88.5,58.1,79.7,-11,-0.8,-2.1,-88.5,58.1,79.7,-11,-0.8,-2.1,-70.5,-120,105.5,-11,-0.8,-2.1,-63.9,-81.4,-72.3,-2.3,-6.2,2.1,-63.9,-81.4,-72.3,1.9,-2.8,-10.7,-63.9,-81.4,-72.3,1.9,-2.8,-10.7,-48.8,57,-111.5,1
1.9,-2.8,-10.7,-17.7,144.8,65.8,-5.5,2.9,-10.6,-17.7,144.8,65.8,-6.8,-1.7,-5.7,-17.7,144.8,65.8,-6.8,-1.7,-5.7,-48.8,-59.4,104.1,-6.8,-1.7,-5.7,-85.1,-51,-1.7,-6.2,-6.8,-0.3,-85.1,-51,-1.7,1.4,-5.1,-4.6,-85.1,-51,-1.7,1.4,-5.1,-4.6,-41,-19.9,-138.9,1.4,-5.1,-4.6,-44.2,104.7,2.3,-4.6,0.1,-12.7,-44.2,104.7,2.3,1
-9.2,0.6,-8.6,-44.2,104.7,2.3,-9.2,0.6,-8.6,-27,42,86.4,-9.2,0.6,-8.6,-53.8,-56,29.6,-6.5,-4.8,-2.2,-53.8,-56,29.6,-2.4,-7.1,0.3,-53.8,-56,29.6,-2.4,-7.1,0.3,-45.2,-68.6,-70.2,0.1,-2.7,-9.4,-45.2,-68.6,-70.2,0.1,-2.7,-9.4,-63.8,29.8,-117.6,-5.1,3.1,-9.7,-63.8,29.8,-117.6,-5.1,3.1,-9.7,-63.6,145.3,63.2,1
-10.1,1.6,-9.2,-63.6,145.3,63.2,-10.1,1.6,-9.2,-59.4,-36.2,102.7,-5.9,-5.5,-1.5,-59.4,-36.2,102.7,-5.9,-5.5,-1.5,-15.8,-96.7,19.3,-1.1,-7.2,-0.3,-15.8,-96.7,19.3,-1.1,-7.2,-0.3,-69.6,-55.7,-79.7,-1.1,-7.2,-0.3,-34.7,116.1,-72.6,-1.5,-3.5,-10.4,-34.7,116.1,-72.6,-7.6,1.2,-9.1,-34.7,116.1,-72.6,-7.6,1.2,-9.1,12.8,116.8,109.8,1
-11.1,-1.2,-4.5,12.8,116.8,109.8,-11.1,-1.2,-4.5,-27.6,-56,103.8,-2.1,-6.8,1.3,-27.6,-56,103.8,-2.1,-6.8,1.3,-104.6,-73.4,-6.1,-2.1,-6.8,1.3,-24.2,77.6,-134.2,1.2,-4,-9,-24.2,77.6,-134.2,-6.1,1.7,-10.5,-24.2,77.6,-134.2,-6.1,1.7,-10.5,-52.5,114.8,43.6,-8.8,0.6,-5.3,-52.5,114.8,43.6,-8.8,0.6,-5.3,-59.8,-78.6,110.3,1
-8.8,0.6,-5.3,-97.9,-112.5,-42.4,-1.3,-7.3,1.7,-97.9,-112.5,-42.4,2.3,-2.8,-9.2,-97.9,-112.5,-42.4,2.3,-2.8,-9.2,-39.7,33.7,-104.3,-5,1.1,-11.5,-39.7,33.7,-104.3,-5,1.1,-11.5,-55.5,111.7,37.2,-10.2,0,-5.9,-55.5,111.7,37.2,-10.2,0,-5.9,-39.9,-9,122.9,-10.2,0,-5.9,-57.2,-97,-5.8,-3.3,-6.6,1,-57.2,-97,-5.8,1
-3.3,-6.6,1,-57.6,-0.7,-126.8,2.8,-5.2,-7.1,-57.6,-0.7,-126.8,-3.9,1.9,-11.8,-57.6,-0.7,-126.8,-3.9,1.9,-11.8,-81.3,121.7,-18,-8.6,2.2,-8,-81.3,121.7,-18,-8.6,2.2,-8,-60.3,17,90,-7.2,-4.5,-3,-60.3,17,90,-7.2,-4.5,-3,-61.4,-62.9,53,0,-7.4,0.7,-61.4,-62.9,53,0,-7.4,0.7,-59.3,-103.3,-65.4,1
